customer_id,age,income_proxy,employment_type,credit_score_band,acquisition_channel,loan_product,loan_amount,tenure_months,interest_rate,origination_risk_grade,repayment_behavior,delinquency_status,partial_payment_flag,cashflow_volatility,acquisition_cost,approval_turnaround_days,origination_date,default_indicator,customer_lifetime_value
1,60,High,Salaried,Excellent,App store,Personal loan,377003.2321153578,6,0.13,A,On time,0,0,High,5,0.7618129287268463,2054-06-26,0,14423.052113693906
2,50,Low,Self-employed,Poor,Partner referral,BNPL,5355.227380913383,3,0.22,E,On time,0,0,High,25,2.9470275532308903,2040-09-23,0,197.5473724268586
3,36,Medium,Salaried,Poor,Partner referral,BNPL,28231.069256081417,6,0.22,E,On time,0,0,Medium,25,5.903300596700181,2059-01-19,0,1838.9129928680886
4,29,Low,Salaried,Fair,Digital ad,Personal loan,15208.060451393114,3,0.19,D,Default,1,1,Medium,8,1.3378807537643365,2025-05-12,1,-10161.532033243719
5,42,Medium,Business,Good,Digital ad,SME working capital,171237.77699684078,12,0.15,C,On time,0,0,High,8,0.6802861703537849,2039-05-07,0,14229.816140814015
6,60,Medium,Salaried,Good,Partner referral,Personal loan,147381.64552682207,12,0.15,C,On time,0,0,Medium,25,3.4533588924665564,2041-05-12,0,12247.377624015731
7,40,Low,Salaried,Good,Digital ad,Personal loan,44023.65821495279,6,0.15,C,Default,1,1,Medium,8,1.2542881859365174,2031-04-06,1,-28870.589093320552
8,44,Low,Business,Fair,Direct mail,Personal loan,7124.366140236056,3,0.19,D,Default,2,1,High,15,6.222776391055544,2033-05-09,1,-4760.270054287824
9,32,Low,Salaried,Fair,Digital ad,BNPL,3312.2634077130833,3,0.17,D,Default,1,1,High,8,0.7698509033025018,2033-09-03,1,-2224.2968778924655
10,32,Medium,Salaried,Poor,Digital ad,Personal loan,127355.12931986469,3,0.24,E,Default,2,1,Low,8,0.6173199911621663,2029-02-28,1,-84020.7613331753
11,45,Medium,Self-employed,Poor,Direct mail,BNPL,3970.416675317918,3,0.22,E,On time,0,0,Medium,15,6.5651314437427555,2024-06-26,0,146.46350674937366
12,57,High,Business,Excellent,Direct mail,Personal loan,440693.7973289996,12,0.13,A,Late 1-15 days,0,0,Low,15,4.341119502001551,2034-11-30,0,31645.03547690611
13,45,Medium,Self-employed,Good,Digital ad,BNPL,27889.3814674769,3,0.13,C,On time,0,0,Low,8,1.992374424173358,2058-01-24,0,606.4402407088673
14,24,Low,Salaried,Fair,Digital ad,BNPL,2667.439388876036,3,0.17,D,Default,2,1,High,8,0.667662498895181,2041-02-26,1,-1791.2757454096477
15,43,High,Self-employed,Good,App store,BNPL,8160.190812546861,3,0.13,C,On time,0,0,Medium,5,0.9398364498031903,2041-05-11,0,177.4391478119387
16,23,Medium,Self-employed,Good,Direct mail,SME working capital,81377.23116589016,24,0.16999999999999998,C,On time,0,0,Medium,15,2.877976413463883,2042-02-08,0,15186.15812652059
17,45,Medium,Self-employed,Poor,Direct mail,BNPL,4039.330112028426,6,0.22,E,On time,0,0,Medium,15,6.21303237721577,2043-04-05,0,263.1135419673228
18,51,Low,Business,Fair,Digital ad,SME working capital,62725.81503357278,6,0.19,D,On time,0,0,Low,8,0.6595930609644045,2053-06-11,0,3521.5539745536007
19,59,Medium,Salaried,Good,Digital ad,Personal loan,116270.50032979273,12,0.15,C,Late 1-15 days,0,0,Medium,8,1.6459539916738013,2057-09-04,0,9662.049293736927
20,23,High,Salaried,Good,Digital ad,Personal loan,291789.48460704123,6,0.15,C,On time,0,0,Low,8,1.2264965909268957,2037-07-10,0,12897.930111264519
21,42,Medium,Self-employed,Good,Digital ad,BNPL,12806.453615567709,6,0.13,C,Default,2,1,High,8,1.7909047170183054,2029-05-01,1,-8474.579694416414
22,54,Medium,Business,Good,Digital ad,BNPL,7788.155780526835,6,0.13,C,On time,0,0,Low,8,0.6498729920339456,2042-04-11,0,297.952290917583
23,33,Medium,Salaried,Fair,Digital ad,Personal loan,54572.01244861436,3,0.19,D,On time,0,0,Low,8,0.7182260964271385,2028-03-04,0,1737.1625040656218
24,43,High,Business,Good,App store,Personal loan,332958.5314803041,6,0.15,C,Default,2,1,Medium,5,1.7816274215322188,2047-08-14,1,-218353.25225694908
25,46,Low,Business,Poor,Digital ad,Personal loan,43509.393381672846,6,0.24,E,Default,2,1,Medium,8,1.2687816332445512,2023-06-19,1,-27360.66996279369
26,48,Medium,Business,Good,Partner referral,Personal loan,75571.27262339741,6,0.15,C,Default,1,1,Low,25,3.5504668958251706,2027-12-01,1,-49559.42435579694
27,49,High,Business,Good,App store,BNPL,28309.57342620868,3,0.13,C,On time,0,0,High,5,0.9534530172930741,2033-11-19,0,615.5770985088275
28,37,Low,Business,Poor,Digital ad,Personal loan,7345.349328550022,3,0.24,E,Default,2,1,Medium,8,1.0994884957466695,2041-09-03,1,-4845.991254053374
29,36,Medium,Self-employed,Excellent,Digital ad,Personal loan,128651.32760772535,6,0.13,A,On time,0,0,High,8,1.2466704799770572,2044-06-05,0,4921.827306812993
30,24,Medium,Self-employed,Good,Digital ad,Personal loan,67335.0780229334,24,0.16999999999999998,C,On time,0,0,High,8,0.580550047031272,2055-05-02,0,12565.691012924057
